threads	Speedup
1	1.00000000000000000000
2	2.00000000000000000000
3	2.80769230769230769230
4   	3.74358974358974358974
5   	4.56250000000000000000
6   	5.40740740740740740740
7   	6.34782608695652173913
8   	6.95238095238095238095
9   	7.68421052631578947368
10  	 8.58823529411764705882
11  	 9.73333333333333333333
12  	 10.42857142857142857142
13  	 11.23076923076923076923
14  	 12.16666666666666666666
15  	 13.27272727272727272727
16  	 14.60000000000000000000
17  	 14.60000000000000000000
18  	 14.60000000000000000000
19  	 16.22222222222222222222
20  	 18.25000000000000000000

